국가명,기간,수입금액(천불),수입중량(톤),수출금액(천불),수출중량(톤),품목명
말레이시아,2021,,,,,몰리브덴
멕시코,2021,164292.0,9365.0,0.0,0.0,몰리브덴
몽골,2021,9428.0,661.0,0.0,0.0,몰리브덴
미국,2021,38585.0,2211.0,0.0,0.0,몰리브덴
베트남,2021,30675.0,1613.0,7055.0,5037.0,몰리브덴
벨기에,2021,17513.0,920.0,0.0,0.0,몰리브덴
UAE,2021,,,,,몰리브덴
아르메니아,2021,16828.0,1074.0,0.0,0.0,몰리브덴
아르헨티나,2021,9613.0,653.0,0.0,0.0,몰리브덴
이란,2021,626.0,42.0,0.0,0.0,몰리브덴
인도,2021,0.0,0.0,512.0,40.0,몰리브덴
일본,2021,582.0,83.0,65850.0,2989.0,몰리브덴
중국,2021,82446.0,3846.0,4544.0,363.0,몰리브덴
칠레,2021,346703.0,19089.0,0.0,0.0,몰리브덴
카자흐스탄,2021,3315.0,281.0,0.0,0.0,몰리브덴
태국,2021,5024.0,240.0,360.0,332.0,몰리브덴
페루,2021,53184.0,3603.0,0.0,0.0,몰리브덴
호주,2021,,,,,몰리브덴
네덜란드,2022,,,,,몰리브덴
대만,2022,0.0,0.0,0.0,0.0,몰리브덴
독일,2022,,,,,몰리브덴
말레이시아,2022,510.0,20.0,0.0,0.0,몰리브덴
멕시코,2022,185991.0,8477.0,0.0,0.0,몰리브덴
몽골,2022,18365.0,1074.0,0.0,0.0,몰리브덴
미국,2022,32445.0,1421.0,0.0,0.0,몰리브덴
베트남,2022,16544.0,708.0,7760.0,1931.0,몰리브덴
벨기에,2022,14009.0,580.0,0.0,0.0,몰리브덴
UAE,2022,893.0,40.0,0.0,0.0,몰리브덴
아르메니아,2022,12438.0,739.0,0.0,0.0,몰리브덴
아르헨티나,2022,1101.0,59.0,0.0,0.0,몰리브덴
이란,2022,422.0,21.0,0.0,0.0,몰리브덴
인도,2022,0.0,0.0,755.0,108.0,몰리브덴
일본,2022,1507.0,117.0,36941.0,1507.0,몰리브덴
중국,2022,162928.0,7076.0,1872.0,98.0,몰리브덴
칠레,2022,307369.0,13376.0,0.0,0.0,몰리브덴
카자흐스탄,2022,3231.0,170.0,0.0,0.0,몰리브덴
태국,2022,6938.0,283.0,1126.0,773.0,몰리브덴
페루,2022,27667.0,1410.0,0.0,0.0,몰리브덴
호주,2022,7599.0,432.0,0.0,0.0,몰리브덴
남아프리카공화국,2021,2637.0,2000.0,0.0,0.0,티타늄
네덜란드,2021,0.0,0.0,0.0,0.0,티타늄
노르웨이,2021,10330.0,42772.0,0.0,0.0,티타늄
대만,2021,77.0,38.0,0.0,0.0,티타늄
독일,2021,27.0,24.0,0.0,0.0,티타늄
말레이시아,2021,27.0,104.0,0.0,0.0,티타늄
모잠비크,2021,113.0,200.0,0.0,0.0,티타늄
미국,2021,0.0,0.0,0.0,0.0,티타늄
베트남,2021,18963.0,42950.0,0.0,0.0,티타늄
세네갈,2021,3199.0,2580.0,0.0,0.0,티타늄
스리랑카,2021,19.0,72.0,0.0,0.0,티타늄
스페인,2021,6.0,0.0,0.0,0.0,티타늄
시에라리온,2021,3689.0,2460.0,0.0,0.0,티타늄
UAE,2021,,,,,티타늄
우크라이나,2021,7290.0,4080.0,0.0,0.0,티타늄
이집트,2021,0.0,0.0,0.0,0.0,티타늄
인도,2021,3839.0,11000.0,0.0,0.0,티타늄
중국,2021,915.0,745.0,23438.0,302062.0,티타늄
캐나다,2021,0.0,0.0,0.0,0.0,티타늄
케냐,2021,5259.0,3566.0,0.0,0.0,티타늄
태국,2021,37.0,92.0,0.0,0.0,티타늄
호주,2021,2494.0,5058.0,0.0,0.0,티타늄
홍콩,2021,0.0,0.0,0.0,0.0,티타늄
남아프리카공화국,2022,3485.0,1900.0,0.0,0.0,티타늄
네덜란드,2022,,,,,티타늄
노르웨이,2022,7713.0,25000.0,0.0,0.0,티타늄
대만,2022,,,,,티타늄
독일,2022,,,,,티타늄
말레이시아,2022,27.0,78.0,0.0,0.0,티타늄
모잠비크,2022,,,,,티타늄
미국,2022,,,,,티타늄
베트남,2022,9646.0,19540.0,0.0,0.0,티타늄
세네갈,2022,6199.0,3380.0,0.0,0.0,티타늄
스리랑카,2022,,,,,티타늄
스페인,2022,,,,,티타늄
시에라리온,2022,5031.0,2420.0,0.0,0.0,티타늄
UAE,2022,0.0,0.0,0.0,0.0,티타늄
우크라이나,2022,8790.0,4102.0,0.0,0.0,티타늄
이집트,2022,,,,,티타늄
인도,2022,,,,,티타늄
중국,2022,134.0,68.0,18900.0,260954.0,티타늄
캐나다,2022,,,,,티타늄
케냐,2022,10876.0,4864.0,0.0,0.0,티타늄
태국,2022,10.0,20.0,0.0,0.0,티타늄
호주,2022,3655.0,6462.0,0.0,0.0,티타늄
홍콩,2022,,,,,티타늄
가봉,2021,21580.0,101970.0,0.0,0.0,망간
남아프리카공화국,2021,147818.0,717245.0,0.0,0.0,망간
네덜란드,2021,57.0,80.0,0.0,0.0,망간
대만,2021,12.0,588.0,0.0,0.0,망간
독일,2021,0.0,0.0,0.0,0.0,망간
모로코,2021,,,,,망간
미국,2021,539.0,380.0,0.0,0.0,망간
베트남,2021,,,,,망간
볼리비아,2021,0.0,0.0,0.0,0.0,망간
이탈리아,2021,,,,,망간
인도,2021,0.0,0.0,0.0,0.0,망간
일본,2021,0.0,0.0,0.0,0.0,망간
중국,2021,13.0,34.0,0.0,0.0,망간
호주,2021,120337.0,504798.0,0.0,0.0,망간
가봉,2022,9951.0,36497.0,0.0,0.0,망간
남아프리카공화국,2022,130060.0,544192.0,0.0,0.0,망간
네덜란드,2022,48.0,60.0,0.0,0.0,망간
대만,2022,,,,,망간
독일,2022,0.0,0.0,0.0,0.0,망간
모로코,2022,0.0,0.0,0.0,0.0,망간
미국,2022,468.0,323.0,0.0,0.0,망간
베트남,2022,0.0,0.0,3.0,93.0,망간
볼리비아,2022,,,,,망간
이탈리아,2022,0.0,0.0,0.0,0.0,망간
인도,2022,,,,,망간
일본,2022,4506.0,19501.0,0.0,0.0,망간
중국,2022,4.0,19.0,2.0,20.0,망간
호주,2022,138594.0,485338.0,0.0,0.0,망간
나이지리아,2021,17.0,1.0,0.0,0.0,주석
몽골,2021,,,,,주석
미국,2021,0.0,0.0,0.0,0.0,주석
미얀마,2021,,,,,주석
베네수엘라,2021,,,,,주석
베트남,2021,0.0,0.0,18.0,1.0,주석
세네갈,2021,0.0,0.0,0.0,0.0,주석
인도,2021,0.0,0.0,5.0,0.0,주석
인도네시아,2021,0.0,0.0,3.0,0.0,주석
중국,2021,0.0,0.0,53.0,1.0,주석
콩고민주공화국,2021,0.0,0.0,0.0,0.0,주석
태국,2021,,,,,주석
프랑스,2021,,,,,주석
나이지리아,2022,,,,,주석
몽골,2022,1.0,0.0,0.0,0.0,주석
미국,2022,0.0,0.0,0.0,0.0,주석
미얀마,2022,0.0,0.0,0.0,0.0,주석
베네수엘라,2022,0.0,0.0,0.0,0.0,주석
베트남,2022,0.0,0.0,0.0,0.0,주석
세네갈,2022,,,,,주석
인도,2022,0.0,0.0,3.0,0.0,주석
인도네시아,2022,,,,,주석
중국,2022,0.0,0.0,36.0,1.0,주석
콩고민주공화국,2022,,,,,주석
태국,2022,118.0,17.0,0.0,0.0,주석
프랑스,2022,0.0,0.0,0.0,0.0,주석
과테말라,2021,,,,,니켈
네덜란드,2021,5.0,0.0,0.0,0.0,니켈
뉴칼레도니아,2021,330115.0,3076534.0,0.0,0.0,니켈
독일,2021,,,,,니켈
러시아연방,2021,,,,,니켈
룩셈부르크,2021,0.0,0.0,0.0,0.0,니켈
미국,2021,0.0,0.0,0.0,0.0,니켈
볼리비아,2021,,,,,니켈
알바니아,2021,,,,,니켈
일본,2021,0.0,0.0,42.0,86.0,니켈
중국,2021,0.0,0.0,0.0,0.0,니켈
카자흐스탄,2021,0.0,0.0,0.0,0.0,니켈
캐나다,2021,,,,,니켈
코트디부아르,2021,,,,,니켈
탄자니아,2021,,,,,니켈
필리핀,2021,10563.0,105000.0,0.0,0.0,니켈
호주,2021,0.0,0.0,0.0,0.0,니켈
과테말라,2022,13537.0,96424.0,0.0,0.0,니켈
네덜란드,2022,5.0,0.0,0.0,0.0,니켈
뉴칼레도니아,2022,348833.0,2401819.0,0.0,0.0,니켈
독일,2022,0.0,0.0,0.0,0.0,니켈
러시아연방,2022,0.0,0.0,0.0,0.0,니켈
룩셈부르크,2022,,,,,니켈
미국,2022,1.0,0.0,0.0,0.0,니켈
볼리비아,2022,0.0,0.0,0.0,0.0,니켈
알바니아,2022,0.0,0.0,0.0,0.0,니켈
일본,2022,0.0,0.0,64.0,46.0,니켈
중국,2022,0.0,0.0,143.0,62.0,니켈
카자흐스탄,2022,0.0,0.0,0.0,0.0,니켈
캐나다,2022,0.0,0.0,0.0,0.0,니켈
